,dtype,n_missing,pct_missing,n_unique
uuid,object,0,0.0,1000000
professional_persona,object,0,0.0,1000000
sports_persona,object,0,0.0,1000000
arts_persona,object,0,0.0,1000000
travel_persona,object,0,0.0,1000000
culinary_persona,object,0,0.0,1000000
family_persona,object,0,0.0,1000000
persona,object,0,0.0,1000000
cultural_background,object,0,0.0,1000000
skills_and_expertise,object,0,0.0,999999
skills_and_expertise_list,object,0,0.0,999798
hobbies_and_interests,object,0,0.0,1000000
hobbies_and_interests_list,object,0,0.0,999999
career_goals_and_ambitions,object,0,0.0,999996
sex,object,0,0.0,2
age,int64,0,0.0,81
marital_status,object,0,0.0,4
military_status,object,0,0.0,2
family_type,object,0,0.0,39
housing_type,object,0,0.0,6
education_level,object,0,0.0,7
bachelors_field,object,0,0.0,11
occupation,object,0,0.0,2120
district,object,0,0.0,252
province,object,0,0.0,17
country,object,0,0.0,1
