,mean,std,min,median,max
professional_persona,159.5,30.3,60.0,163.0,306.0
sports_persona,133.7,26.2,51.0,137.0,293.0
arts_persona,138.2,26.3,54.0,142.0,260.0
travel_persona,135.1,26.4,51.0,139.0,248.0
culinary_persona,142.0,27.9,59.0,146.0,277.0
family_persona,144.0,27.9,58.0,149.0,252.0
persona,81.5,10.6,42.0,81.0,174.0
cultural_background,135.3,28.8,55.0,139.0,299.0
skills_and_expertise,121.0,25.4,50.0,124.0,247.0
hobbies_and_interests,128.9,28.9,6.0,133.0,305.0
career_goals_and_ambitions,118.3,25.5,47.0,121.0,243.0
